StartDate,ExitDate,Title,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating
07-Jan-23,21-Nov-27,Production Technician I,BPC,Active,Full-Time,Zone C,Temporary,Unk,Opportunity place deal.,Production       ,Project Management - Con,15-03-1942,MA,Mechanic,Male,90983,Hispanic,Widowed,Exceeds,3
28-Dec-18,10-Apr-27,Production Technician I,NEL,Active,Full-Time,Zone C,Part-Time,Unk,Remember teacher produce use voice.,Production       ,General - Con,08-01-1965,MA,Foreman,Female,57569,Asian,Married,Fully Meets,3
22-Jul-20,03-Jun-29,Production Technician I,PYZ,Active,Contract,Zone A,Part-Time,Unk,Account between environmental section group.,Production       ,Wireless,07-10-1951,MA,Clerk,Female,32242,Hispanic,Single,Fully Meets,3
02-Oct-21,05-Jul-20,Area Sales Manager,CCDR,Active,Part-Time,Zone A,Full-Time,Voluntary,Media move management if my.,Sales,Aerial,19-08-1991,PA,Cfo,Male,71652,Other,Married,Fully Meets,2
04-Mar-21,20-Jan-22,Sales Manager,MSC,Terminated for Cause,Part-Time,Zone C,Temporary,Voluntary,Official minute everyone level thing economic.,Production       ,Field Operations,22-04-1997,MA,Program Manager,Male,15543,Other,Widowed,Exceeds,2
22-Feb-21,30-May-29,Production Technician I,EW,Active,Full-Time,Zone C,Part-Time,Unk,Too former relationship risk.,Production       ,Field Operations,19-12-2000,MA,Program Manager,Male,21829,Black,Widowed,Fully Meets,2
24-Dec-19,30-Dec-29,Principal Data Architect,CCDR,Active,Part-Time,Zone B,Temporary,Unk,Program personal mean life source reach.,Production       ,Splicing,02-07-1979,MA,Mechanic,Female,14111,Black,Divorced,Fully Meets,5
06-Jun-23,11-Jan-25,Software Engineer,SVG,Active,Part-Time,Zone A,Temporary,Unk,Practice school PM her help open tough.,Production       ,General - Sga,14-11-1963,MA,Manager,Female,31355,Hispanic,Married,Fully Meets,3
20-Jan-23,13-Jun-19,Network Engineer,PL,Active,Part-Time,Zone A,Part-Time,Involuntary,Cultural responsibility whose wear.,IT/IS,Splicing,29-12-1983,MA,Project Controls,Male,13596,White,Single,Fully Meets,4
03-Jun-20,04-Dec-19,Database Administrator,SVG,Future Start,Contract,Zone C,Temporary,Resignation,Beat hand ready reason development else doctor.,Production       ,Field Operations,19-09-1990,MA,Laborer,Female,63493,Black,Single,Fully Meets,5
10-Jul-22,22-Jun-21,Production Technician I,BPC,Active,Contract,Zone B,Full-Time,Resignation,Few attorney all campaign town reflect behavior.,Production       ,Finance & Accounting,24-11-1962,MA,Supervisor,Male,65005,Black,Divorced,Fully Meets,3
25-Jun-20,27-Jun-29,Production Manager,PL,Active,Part-Time,Zone A,Full-Time,Unk,History follow budget forget instead mind.,Production       ,Sales & Marketing,21-07-1948,MA,Tester,Female,30382,Asian,Married,Fully Meets,3
26-Oct-22,01-May-20,Production Technician I,TNS,Future Start,Contract,Zone C,Full-Time,Involuntary,Try statement audience too material film.,Production       ,Sales & Marketing,08-04-1974,MA,Tester,Female,58563,Asian,Divorced,Fully Meets,2
23-Apr-22,13-Aug-25,Production Technician I,NEL,Active,Contract,Zone A,Part-Time,Unk,According if detail quality difficult.,Production       ,Field Operations,12-11-1994,MA,Driller,Male,75896,Asian,Single,PIP,2
19-Nov-18,28-Apr-20,Administrative Assistant,PYZ,Active,Part-Time,Zone B,Part-Time,Resignation,Message firm social daughter third ready.,Production       ,Field Operations,20-09-1941,MA,Laborer,Female,25937,White,Single,Fully Meets,3
23-Feb-21,15-Oct-21,Senior BI Developer,PYZ,Voluntarily Terminated,Part-Time,Zone A,Part-Time,Voluntary,Else enjoy include expect.,Production       ,Wireline Construction,02-10-1966,MA,Field Project Manager,Female,64534,White,Single,Fully Meets,4
25-Sep-22,14-Apr-24,IT Support,NEL,Active,Full-Time,Zone C,Part-Time,Unk,Too former relationship risk.,Production       ,Wireline Construction,30-12-1974,MA,Operator,Male,32867,Asian,Married,Fully Meets,4
05-Mar-21,07-Mar-25,Data Analyst ,NEL,Active,Contract,Zone B,Full-Time,Unk,Certainly those above eye ball.,Admin Offices,People Services,04-03-1969,MA,Project Coordinator,Female,92657,Asian,Single,Fully Meets,5
30-May-23,08-Aug-26,Sr. Network Engineer,TNS,Active,Part-Time,Zone B,Temporary,Unk,Message firm social daughter third ready.,Production       ,General - Con,23-09-1976,MA,Laborer,Female,37775,Other,Married,Fully Meets,3
29-Sep-22,30-Mar-22,Production Technician I,EW,Voluntarily Terminated,Full-Time,Zone A,Full-Time,Retirement,Part officer father last trouble field.,Production       ,General - Con,08-12-1988,MA,Clerk,Female,33151,Hispanic,Widowed,Exceeds,3
30-Apr-22,13-Aug-21,Production Technician I,PYZ,Leave of Absence,Part-Time,Zone B,Part-Time,Retirement,Summer might develop TV magazine down.,Production       ,Field Operations,29-10-1981,MA,Laborer,Male,60262,Black,Married,Fully Meets,2
24-May-21,01-May-20,Production Technician I,TNS,Terminated for Cause,Part-Time,Zone A,Temporary,Retirement,Only movie ability wait according.,Production       ,Field Operations,22-05-1977,MA,Driver,Female,56919,White,Widowed,PIP,4
13-May-19,19-Jan-21,Production Technician I,PL,Active,Contract,Zone A,Part-Time,Voluntary,Reality line toward follow well able.,Production       ,Engineers,26-04-1974,MA,Tester,Female,33668,Asian,Widowed,Needs Improvement,3
27-Jan-23,27-Jul-28,Production Technician II,EW,Active,Full-Time,Zone C,Part-Time,Unk,Big large training region.,Production       ,Wireline Construction,15-04-1972,MA,Tower Hand,Female,29303,Black,Single,Fully Meets,2
24-Jan-19,13-Aug-19,Production Technician I,EW,Active,Full-Time,Zone A,Part-Time,Voluntary,Finally build do analysis beyond heavy.,Production       ,Project Management - Con,03-05-1996,MA,Vp,Male,23708,Other,Married,Fully Meets,1
18-May-22,09-Dec-26,Production Technician I,PYZ,Active,Full-Time,Zone B,Temporary,Unk,Look dark travel herself election college what.,Production       ,Field Operations,10-08-1961,MA,Tower Hand,Female,19197,Black,Single,Fully Meets,2
06-May-21,20-Oct-27,Production Technician I,MSC,Active,Full-Time,Zone C,Part-Time,Unk,Practice school PM her help open tough.,Production       ,Field Operations,16-02-1959,MA,Laborer,Female,42253,White,Widowed,Fully Meets,3
09-Jan-23,21-Feb-19,Production Technician I,CCDR,Active,Contract,Zone C,Temporary,Resignation,Less boy reflect quickly health respond million.,Production       ,Field Operations,29-04-1957,MA,Welder,Female,14366,Asian,Widowed,Fully Meets,3
08-Feb-20,08-Dec-28,Production Technician I,TNS,Active,Part-Time,Zone B,Temporary,Unk,Human box wish natural student staff.,Production       ,Isp,10-09-1994,MA,Operator,Female,27838,Hispanic,Widowed,Needs Improvement,3
07-Dec-21,05-Jul-24,BI Director,PYZ,Active,Contract,Zone C,Part-Time,Unk,Can last meet shake imagine he.,Production       ,Aerial,17-06-1988,MA,Laborer,Female,15266,Asian,Married,Fully Meets,3
07-Feb-19,03-Oct-25,BI Director,NEL,Active,Full-Time,Zone B,Part-Time,Unk,Suddenly myself debate official training three.,Admin Offices,Technology / It,24-06-1979,MA,Assistant,Female,19960,Black,Single,Fully Meets,3
06-Feb-22,24-Sep-25,Area Sales Manager,CCDR,Active,Full-Time,Zone B,Part-Time,Unk,Hold season meeting voice.,Sales,Finance & Accounting,28-02-1943,WA,Laborer,Male,8195,Asian,Single,Fully Meets,2
01-Aug-23,22-May-28,Software Engineer,TNS,Active,Contract,Zone A,Temporary,Unk,Line know television.,Production       ,Splicing,20-02-1973,MA,Cfo,Female,4509,Black,Single,Fully Meets,2
04-Jun-20,29-Dec-22,Software Engineer,SVG,Future Start,Part-Time,Zone A,Full-Time,Voluntary,Teach human market real upon.,Production       ,Engineers,22-08-1947,MA,Cfo,Female,13223,Other,Divorced,Exceeds,3
14-Feb-19,23-Jul-24,Production Technician I,WBL,Active,Contract,Zone A,Full-Time,Unk,Church happen network dog kid thought.,Production       ,Aerial,05-11-1976,MA,Laborer,Male,9800,White,Widowed,Fully Meets,5
27-Nov-18,11-Apr-26,Database Administrator,NEL,Active,Part-Time,Zone A,Part-Time,Unk,Guy ten dream. Thing he care series.,Production       ,Splicing,20-03-1967,MA,Executive,Male,10415,Hispanic,Widowed,Needs Improvement,3
23-Jan-20,17-Dec-20,Director of Sales,EW,Active,Part-Time,Zone A,Temporary,Retirement,End trouble tonight amount page reach debate.,Admin Offices,Underground,10-08-1985,MA,Laborer,Female,54847,Hispanic,Widowed,PIP,5
03-Feb-20,26-May-21,Area Sales Manager,NEL,Active,Part-Time,Zone A,Part-Time,Involuntary,Wonder worry life stand.,Sales,Field Operations,13-03-1985,WA,Manager,Male,95533,Asian,Married,Fully Meets,5
01-Nov-22,23-May-29,IT Support,MSC,Active,Full-Time,Zone C,Temporary,Unk,Win late significant throughout add.,Production       ,General - Con,19-03-1973,MA,Model Assistant,Male,34282,Black,Widowed,Fully Meets,5
16-Aug-19,20-Mar-27,Production Technician I,TNS,Active,Part-Time,Zone C,Full-Time,Unk,Attention summer we. Suffer impact imagine we.,Production       ,Project Management - Con,31-08-1996,MA,Foreman,Male,38013,Black,Single,Needs Improvement,3
22-Jun-21,22-Feb-29,Administrative Assistant,PYZ,Active,Contract,Zone C,Part-Time,Unk,Above fight animal support beautiful.,Admin Offices,General - Con,07-11-1951,MA,Controller,Male,26866,Asian,Divorced,Fully Meets,3
30-Dec-20,06-May-27,Sales Manager,MSC,Active,Part-Time,Zone A,Full-Time,Unk,Only movie ability wait according.,Software Engineering,General - Con,18-11-1998,MA,Foreman,Male,81356,White,Single,Fully Meets,3
16-Jan-21,21-Jul-19,Area Sales Manager,WBL,Active,Full-Time,Zone C,Part-Time,Resignation,Join difference order size occur entire sell.,Sales,General - Con,01-07-1953,CO,Foreman,Male,64136,White,Widowed,Fully Meets,5
20-Sep-20,22-May-19,Data Analyst,PYZ,Active,Contract,Zone C,Temporary,Retirement,Crime west best industry right alone begin.,IT/IS,Wireline Construction,23-01-1984,MA,Foreman,Female,59336,Other,Divorced,Fully Meets,3
01-Feb-23,20-Nov-27,Production Technician I,CCDR,Active,Contract,Zone B,Temporary,Unk,Key real fill never sing feeling.,Production       ,Project Management - Eng,13-01-1993,MA,Project Manager,Female,41380,White,Widowed,Needs Improvement,5
29-Mar-21,01-Oct-19,Production Technician I,PYZ,Leave of Absence,Contract,Zone A,Part-Time,Involuntary,Summer might develop TV magazine down.,Production       ,General - Con,29-08-1975,MA,Specialist,Male,60796,Other,Divorced,Fully Meets,3
13-Jun-22,10-Nov-26,Production Technician I,SVG,Active,Contract,Zone C,Full-Time,Unk,Open test message part risk.,Production       ,General - Con,24-04-1959,MA,Clerk,Male,21939,White,Married,Needs Improvement,4
05-Jan-23,22-May-24,Production Technician I,MSC,Active,Contract,Zone C,Full-Time,Unk,Take nice into true side job.,Production       ,Aerial,16-03-1993,MA,Vp,Male,80410,Black,Divorced,Needs Improvement,3
13-Feb-20,30-Sep-29,Production Technician I,PYZ,Active,Full-Time,Zone B,Full-Time,Unk,Beat hand ready reason development else doctor.,Production       ,Yard (Material Handling),01-06-1955,MA,Laborer,Female,30832,Asian,Single,PIP,2
30-Jul-23,10-Nov-25,BI Director,EW,Active,Contract,Zone A,Part-Time,Unk,Site least knowledge right every.,Software Engineering,Technology / It,24-03-1993,MA,Safety,Female,93960,Black,Single,Fully Meets,3
