StartDate,ExitDate,Title,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating
10-Feb-22,08-Jun-22,Database Administrator,EW,Active,Contract,Zone B,Full-Time,Retirement,If require particularly civil.,IT/IS,Wireline Construction,23-07-1963,TX,Laborer,Female,67986,Hispanic,Single,Fully Meets,3
15-Apr-19,10-May-23,Production Technician II,PL,Active,Contract,Zone A,Part-Time,Voluntary,Although center movement stock. While you local.,Production       ,Billable Consultants,30-03-1978,MA,Engineer,Female,25166,Asian,Married,Exceeds,2
30-Sep-19,23-Jun-21,Production Technician I,EW,Terminated for Cause,Full-Time,Zone A,Full-Time,Resignation,Six agreement take. Newspaper back land health.,Production       ,Project Management - Con,13-03-2000,MA,Coordinator,Female,48294,Asian,Single,Fully Meets,1
14-Mar-21,,Production Technician I,CCDR,Active,Full-Time,Zone A,Part-Time,Unk,,Production       ,General - Eng,20-01-1992,MA,Engineer,Female,96129,Black,Widowed,Exceeds,4
28-Dec-19,,Production Technician II,SVG,Active,Part-Time,Zone A,Full-Time,Unk,,Production       ,Shop (Fleet),20-03-1991,MA,Mechanic,Female,68155,White,Divorced,Exceeds,3
17-Dec-22,,Production Technician I,PYZ,Active,Contract,Zone A,Full-Time,Unk,,Production       ,Aerial,22-03-1943,MA,Lineman,Male,53404,Black,Widowed,Fully Meets,2
26-Sep-19,,Production Technician I,PL,Active,Contract,Zone A,Full-Time,Unk,,Production       ,Catv,13-03-1979,MA,Laborer,Male,57484,Black,Married,Fully Meets,4
22-Nov-18,19-Jul-20,Production Technician I,SVG,Voluntarily Terminated,Full-Time,Zone A,Full-Time,Resignation,Himself final success these or card strategy.,Production       ,Field Operations,04-07-1958,MA,Technician,Male,96001,Asian,Widowed,Fully Meets,3
15-Sep-22,14-Feb-23,Production Technician I,WBL,Active,Contract,Zone B,Temporary,Involuntary,Serve bill write instead pressure life anyone.,Production       ,Catv,03-11-1960,MA,Supervisor,Female,34104,Other,Married,Fully Meets,3
08-Sep-18,23-Aug-21,Network Engineer,TNS,Active,Contract,Zone B,Part-Time,Voluntary,Hot star town often onto although cultural.,Executive Office,Engineers,18-02-1967,MA,Engineer,Male,69536,Other,Divorced,Fully Meets,3
08-Apr-22,11-Jan-23,Software Engineer,PYZ,Active,Full-Time,Zone C,Part-Time,Involuntary,Her office place.,Software Engineering,Field Operations,29-04-1981,MA,Operator,Male,14669,White,Divorced,Fully Meets,3
20-Nov-20,01-May-23,Production Technician I,SVG,Active,Full-Time,Zone A,Part-Time,Voluntary,Memory high then mind concern carry level life.,Production       ,Wireline Construction,08-03-1943,MA,Foreman,Male,18389,Other,Divorced,Fully Meets,2
