,EmpID,FirstName,LastName,StartDate,ExitDate,Title,Supervisor,ADEmail,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating
0,2716.1103519949684,Harley,Melton,06-Mar-20,06-Mar-21,Production Technician I,Mark Smith,jenna.casey@bilearner.com,TNS,Future Start,Contract,Zone B,Temporary,Unk,Approach better little check.,Production       ,General - Con,15-04-1947,MA,Construction Manager,Female,99116.68620202134,Black,Divorced,Fully Meets,3.659723335230583
1,2911.403479935651,Jaydan,Hoffman,22-Feb-19,,Production Manager,Richard Davis II,camila.hodges@bilearner.com,EW,Active,Contract,Zone C,Full-Time,Involuntary,,Production       ,Engineers,12-09-1998,MA,Lineman,Female,77043.3411483769,Hispanic,Single,Fully Meets,0.2433975061478093
2,2259.9956088152917,Teagan,Salazar,26-Jan-22,01-Nov-21,Production Technician I,Kaitlin Thomas MD,camryn.clark@bilearner.com,CCDR,Voluntarily Terminated,Contract,Zone A,Temporary,Retirement,Once type here really.,Production       ,Isp,27-08-1997,MA,Operator,Male,44969.89202389179,White,Single,Fully Meets,7.464224519944107
3,3856.882284410122,Leonel,Moran,23-Jan-22,,Production Technician I,Scott Davis,jeffery.gamble@bilearner.com,PYZ,Voluntarily Terminated,Full-Time,Zone B,Full-Time,Unk,,IT/IS,Wireline Construction,02-06-1942,MA,Technician,Male,67685.70448205486,Asian,Widowed,PIP,3.0721489622547824
4,2018.3049249944738,German,Drake,22-Sep-22,,Area Sales Manager,Hannah Davis,hailey.mckay@bilearner.com,PL,Active,Part-Time,Zone C,Part-Time,Voluntary,,Sales,General - Con,06-06-1953,MA,Locator,Female,90475.42408309007,White,Widowed,Fully Meets,3.729121637550638
5,1915.1517634468744,Donavan,Carpenter,27-Oct-21,,Sales Manager,Anita Dudley,isaias.briggs@bilearner.com,MSC,Active,Contract,Zone C,Full-Time,Unk,,Production       ,Aerial,18-12-1958,MA,Lineman,Female,41666.756339870124,Black,Widowed,Fully Meets,2.389458310026721
6,2451.8863082780713,Sade,Lara,20-Mar-23,04-Nov-21,IT Support,Kristi Cox,rhett.holmes@bilearner.com,WBL,Active,Full-Time,Zone A,Full-Time,Voluntary,Cultural responsibility whose wear.,Production       ,Engineers,06-12-1983,MA,Engineer,Female,97919.69602998509,Other,Widowed,Fully Meets,3.0395472601425593
7,2082.3227424007528,Paxton,Clarke,27-Oct-20,,Production Technician II,James Gibson,reginald.dougherty@bilearner.com,MSC,Active,Contract,Zone B,Part-Time,Unk,Art decade agreement bank.,Production       ,Fielders,22-09-1952,MA,Supervisor,Male,2543.0380048125007,Black,Widowed,Fully Meets,2.708352744536379
8,2833.9953499508074,Axel,Gaines,07-Jan-22,11-Dec-21,Area Sales Manager,Jeremy Smith,jacoby.lyons@bilearner.com,SVG,Active,Part-Time,Zone A,Full-Time,Retirement,Figure yard develop TV enjoy late standard.,IT/IS,Wireline Construction,15-01-1974,TX,Associate,Female,55171.8820671511,Hispanic,Divorced,Fully Meets,0.9901074376736956
9,4392.870914169436,Ellie,Acosta,11-Nov-21,03-Jan-23,Production Technician I,Anthony Mcguire,maribel.morrison@bilearner.com,BPC,Active,Full-Time,Zone A,Temporary,Unk,Five national writer try mean training instead.,Production       ,General - Con,29-10-1967,CT,Foreman,Female,50918.273639182335,White,Married,Needs Improvement,4.0439789212646176
