Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours
reason_0,month_8,day_5,season_4,297,5,1970-01-01,36,365.25279279011977,87,1,education_2,son_3,0,0,pet_1,72,192,32,1970-01-01
reason_6,month_11,day_2,season_4,196,23,1970-01-01,40,210.99866037491108,87,0,education_3,son_0,1,1,pet_8,101,166,26,1970-01-01
reason_14,month_8,day_2,season_4,357,42,1970-01-01,56,285.54355753749843,89,0,education_1,son_3,0,1,pet_0,59,163,26,1970-01-01
reason_19,month_12,day_3,season_4,323,44,1970-01-01,48,291.77490534005085,97,1,education_2,son_0,0,0,pet_0,106,163,33,1970-01-01
reason_11,month_10,day_2,season_3,334,14,1970-01-01,38,338.0065039788942,96,1,education_4,son_1,0,0,pet_4,93,180,22,1970-01-01
reason_27,month_12,day_4,season_2,173,46,1970-01-01,56,372.4799899967412,92,1,education_3,son_2,0,0,pet_4,84,163,31,1970-01-01
reason_18,month_5,day_2,season_3,249,31,1970-01-01,57,263.95765681835644,86,0,education_2,son_0,0,1,pet_0,83,177,20,1970-01-01
reason_1,month_0,day_3,season_2,196,8,1970-01-01,43,349.94289872990055,84,0,education_3,son_2,0,0,pet_4,66,165,28,1970-01-01
reason_27,month_11,day_5,season_4,346,20,1970-01-01,43,327.7798418423806,99,1,education_3,son_3,0,0,pet_8,70,185,28,1970-01-01
reason_11,month_1,day_5,season_3,270,50,1970-01-01,40,232.53456680473786,83,0,education_2,son_1,1,0,pet_8,80,180,27,1970-01-01
reason_22,month_5,day_4,season_4,185,17,1970-01-01,27,283.47944858278623,91,1,education_4,son_4,1,0,pet_0,102,193,35,1970-01-01
reason_4,month_9,day_3,season_4,295,44,1970-01-01,50,268.84104642790567,100,1,education_1,son_4,1,1,pet_4,92,167,29,1970-01-01
reason_15,month_11,day_2,season_4,121,45,1970-01-01,39,235.97446562288224,93,0,education_4,son_0,0,0,pet_8,99,185,28,1970-01-01
reason_24,month_4,day_2,season_4,274,44,1970-01-01,57,247.0172554336031,98,0,education_3,son_4,0,1,pet_0,82,182,20,1970-01-01
reason_11,month_6,day_5,season_3,361,51,1970-01-01,54,352.9405891451181,98,0,education_4,son_4,1,1,pet_8,78,177,33,1970-01-01
reason_21,month_1,day_4,season_4,146,13,1970-01-01,42,375.8874350495536,91,1,education_1,son_0,0,1,pet_2,108,173,24,1970-01-01
reason_11,month_10,day_5,season_1,131,38,1970-01-01,45,316.01747691459644,91,1,education_2,son_2,0,1,pet_2,59,181,25,1970-01-01
reason_22,month_4,day_3,season_2,331,18,1970-01-01,50,295.7460208754117,86,1,education_1,son_3,0,0,pet_8,89,193,27,1970-01-01
reason_4,month_10,day_6,season_3,189,46,1970-01-01,56,354.03819239692393,86,0,education_2,son_4,0,0,pet_1,106,177,30,1970-01-01
reason_15,month_2,day_3,season_1,210,30,1970-01-01,42,347.9804739168046,83,0,education_4,son_0,1,1,pet_4,65,195,27,1970-01-01
reason_28,month_8,day_6,season_1,263,23,1970-01-01,40,331.1316765666729,84,0,education_2,son_3,0,1,pet_2,66,190,36,1970-01-01
reason_2,month_1,day_3,season_2,126,40,1970-01-01,50,315.3609193756732,90,1,education_4,son_3,0,1,pet_5,69,186,21,1970-01-01
reason_13,month_6,day_3,season_3,245,47,1970-01-01,53,280.35551489867913,91,0,education_3,son_4,1,0,pet_5,56,184,22,1970-01-01
reason_27,month_2,day_3,season_2,331,35,1970-01-01,43,351.20963066839437,97,0,education_3,son_0,0,1,pet_1,97,173,28,1970-01-01
reason_2,month_1,day_6,season_2,235,41,1970-01-01,36,231.83848434875637,81,1,education_1,son_0,1,0,pet_5,105,182,29,1970-01-01
reason_17,month_8,day_2,season_2,254,39,1970-01-01,46,298.5242579676283,95,1,education_3,son_1,1,1,pet_2,85,168,22,1970-01-01
reason_28,month_7,day_3,season_1,146,41,1970-01-01,55,274.3050209257757,88,0,education_4,son_1,1,0,pet_4,84,173,32,1970-01-01
reason_4,month_5,day_6,season_3,300,46,1970-01-01,46,254.99542624734693,82,1,education_2,son_2,1,1,pet_8,89,173,25,1970-01-01
reason_18,month_0,day_4,season_3,259,16,1970-01-01,54,349.9290355640949,94,0,education_4,son_0,1,1,pet_4,62,184,24,1970-01-01
reason_17,month_1,day_6,season_4,330,8,1970-01-01,52,224.47666616210347,91,0,education_4,son_0,0,0,pet_4,80,174,36,1970-01-01
reason_7,month_8,day_2,season_3,252,27,1970-01-01,57,329.8568308942485,82,1,education_1,son_3,0,1,pet_2,73,179,20,1970-01-01
reason_0,month_8,day_3,season_1,217,51,1970-01-01,39,350.93725664553324,89,1,education_3,son_0,0,1,pet_2,91,166,22,1970-01-01
reason_7,month_0,day_5,season_2,133,41,1970-01-01,52,314.77418581457954,87,0,education_3,son_0,0,0,pet_5,77,193,33,1970-01-01
reason_10,month_5,day_5,season_4,354,24,1970-01-01,40,234.99202759966545,90,1,education_3,son_1,0,1,pet_0,77,176,38,1970-01-01
reason_25,month_2,day_5,season_4,285,48,1970-01-01,40,344.8596730639806,90,1,education_3,son_3,0,1,pet_5,86,185,32,1970-01-01
reason_2,month_10,day_3,season_1,192,27,1970-01-01,51,246.52186327932827,89,1,education_4,son_4,1,1,pet_8,106,185,23,1970-01-01
reason_12,month_2,day_6,season_2,168,5,1970-01-01,44,276.1917727633248,99,1,education_2,son_2,0,0,pet_5,108,183,37,1970-01-01
reason_26,month_6,day_3,season_2,121,19,1970-01-01,32,360.4962397657628,86,0,education_2,son_2,0,1,pet_2,97,182,33,1970-01-01
reason_13,month_11,day_6,season_2,344,29,1970-01-01,32,258.0123704336016,97,0,education_4,son_0,1,1,pet_4,60,188,29,1970-01-01
reason_19,month_7,day_3,season_1,163,34,1970-01-01,56,299.2799607402473,97,1,education_2,son_2,0,0,pet_1,64,195,22,1970-01-01
reason_19,month_8,day_3,season_4,241,21,1970-01-01,41,376.66780451168694,99,0,education_4,son_3,0,1,pet_0,75,184,26,1970-01-01
reason_25,month_3,day_3,season_3,231,52,1970-01-01,49,215.570668237433,96,0,education_3,son_2,0,0,pet_2,61,173,34,1970-01-01
reason_0,month_11,day_3,season_4,370,40,1970-01-01,41,294.7841555332294,94,0,education_4,son_2,1,0,pet_5,81,181,25,1970-01-01
reason_19,month_1,day_2,season_3,209,31,1970-01-01,40,264.59886814121825,94,0,education_1,son_2,1,0,pet_4,100,174,26,1970-01-01
reason_16,month_7,day_3,season_3,242,42,1970-01-01,32,363.2978147955108,98,1,education_1,son_0,1,0,pet_1,99,168,33,1970-01-01
reason_28,month_7,day_6,season_3,369,18,1970-01-01,33,368.98288229575905,84,0,education_4,son_3,0,0,pet_0,73,190,27,1970-01-01
reason_7,month_5,day_3,season_4,363,28,1970-01-01,48,240.5389583577981,81,0,education_3,son_2,0,0,pet_4,87,169,28,1970-01-01
reason_13,month_11,day_4,season_2,183,24,1970-01-01,31,222.05544763007254,86,0,education_2,son_1,0,0,pet_4,83,174,26,1970-01-01
reason_14,month_0,day_4,season_4,317,7,1970-01-01,29,376.03401439741015,87,0,education_3,son_0,1,1,pet_4,68,178,29,1970-01-01
reason_24,month_1,day_6,season_3,165,33,1970-01-01,29,360.04606695419886,98,1,education_2,son_1,0,1,pet_8,85,164,25,1970-01-01
reason_4,month_1,day_3,season_1,202,22,1970-01-01,41,271.1207650526692,89,0,education_1,son_3,1,1,pet_8,95,192,30,1970-01-01
reason_8,month_6,day_3,season_2,331,24,1970-01-01,38,303.13213836718546,98,0,education_3,son_4,1,1,pet_4,78,189,33,1970-01-01
reason_15,month_3,day_5,season_1,288,46,1970-01-01,32,298.3043882983995,90,0,education_2,son_0,0,1,pet_2,63,178,37,1970-01-01
reason_16,month_0,day_6,season_4,293,34,1970-01-01,47,271.80547088990846,94,1,education_1,son_0,0,0,pet_5,86,194,20,1970-01-01
reason_9,month_8,day_3,season_3,321,31,1970-01-01,28,318.1430135482599,99,1,education_2,son_2,0,1,pet_5,105,188,25,1970-01-01
reason_3,month_5,day_3,season_3,169,23,1970-01-01,42,367.5128593074337,90,0,education_2,son_3,0,1,pet_2,99,168,36,1970-01-01
reason_14,month_1,day_3,season_1,185,31,1970-01-01,56,267.05402326002803,93,0,education_2,son_1,1,0,pet_2,75,181,20,1970-01-01
reason_9,month_1,day_3,season_4,212,12,1970-01-01,45,374.945450577071,90,0,education_3,son_3,0,0,pet_2,96,192,30,1970-01-01
