StartDate,ExitDate,Title,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating
06-Aug-23,23-May-29,Area Sales Manager,NEL,Active,Full-Time,Zone A,Temporary,Unk,Stuff different color how.,Production       ,General - Con,26-09-1991,MA,Supervisor,Male,1015,White,Single,Needs Improvement,3
31-Jul-22,11-Mar-21,Sr. DBA,WBL,Active,Part-Time,Zone B,Full-Time,Involuntary,,Production       ,Shop (Fleet),26-06-1968,MA,Foreman,Female,21294,Other,Divorced,PIP,3
09-Aug-21,07-Sep-20,Area Sales Manager,TNS,Active,Contract,Zone B,Temporary,Unk,Health section option interview.,IT/IS,General - Con,09-07-2001,MA,Manager,Male,8182,Asian,Single,Fully Meets,5
20-Nov-18,28-Nov-29,Sr. Network Engineer,EW,Active,Contract,Zone C,Temporary,Unk,Know blue difficult let black choice require.,Production       ,General - Sga,16-02-1991,MA,Driller,Female,1015,Hispanic,Married,Fully Meets,2
03-Apr-22,09-Jun-29,Production Technician I,SVG,Active,Part-Time,Zone A,Part-Time,Unk,,Production       ,Field Operations,09-07-2001,MA,Project Manager,Male,3000,Other,Divorced,Fully Meets,3
06-Aug-23,22-Mar-29,Production Technician I,PYZ,Active,Contract,Zone A,Temporary,Unk,More best if page.,Production       ,Field Operations,09-07-2001,MA,Groundman,Male,43471,White,Divorced,Fully Meets,2
10-Jan-23,25-Dec-18,Production Technician II,EW,Active,Contract,Zone C,Full-Time,Retirement,,IT/IS,General - Con,09-07-2001,MA,Laborer,Female,13372,Hispanic,Widowed,Fully Meets,3
29-Sep-21,14-Sep-21,Production Technician I,WBL,Leave of Absence,Contract,Zone B,Temporary,Retirement,Information step name three choose.,Software Engineering,Executive,09-07-2001,MA,Lineman,Male,82959,White,Single,Fully Meets,4
23-Jul-21,16-Jan-19,Area Sales Manager,TNS,Active,Contract,Zone A,Part-Time,Unk,,Production       ,Field Operations,19-01-1988,MA,Technician,Male,77310,Black,Single,Needs Improvement,2
17-Sep-22,06-Dec-19,Production Technician I,PYZ,Terminated for Cause,Part-Time,Zone B,Full-Time,Unk,Inside week also so.,Production       ,Engineers,09-07-2001,CA,Laborer,Female,1015,Black,Divorced,Fully Meets,3
28-Jun-22,25-Jan-29,Production Manager,TNS,Active,Contract,Zone B,Full-Time,Voluntary,Wonder worry life stand.,Production       ,Executive,09-07-2001,MA,Technician,Male,10784,White,Divorced,Fully Meets,3
17-Nov-19,25-Dec-18,Production Technician I,WBL,Active,Part-Time,Zone B,Full-Time,Unk,,Production       ,Engineers,09-07-2001,MA,Engineer,Male,1015,Other,Divorced,Fully Meets,3
26-Oct-20,19-Apr-21,Production Technician II,WBL,Active,Contract,Zone A,Full-Time,Retirement,Risk test morning lawyer.,Executive Office,Field Operations,10-12-1990,WA,Supervisor,Male,25423,Black,Married,Fully Meets,4
06-Aug-23,21-Oct-20,Area Sales Manager,SVG,Active,Part-Time,Zone A,Part-Time,Voluntary,Fast light home sign build not.,Production       ,Finance & Accounting,09-07-2001,OR,Foreman,Female,31307,White,Single,Fully Meets,3
17-Dec-20,02-Jul-21,Production Technician I,WBL,Active,Contract,Zone A,Temporary,Unk,Condition control raise.,IT/IS,Field Operations,17-08-1999,MA,Foreman,Female,30704,Black,Single,Fully Meets,5
06-Aug-23,14-Jun-21,Area Sales Manager,NEL,Active,Contract,Zone C,Part-Time,Unk,,Production       ,Aerial,09-07-2001,MA,Lineman,Male,1015,Hispanic,Single,Fully Meets,3
02-Oct-19,07-Apr-21,Production Technician II,WBL,Active,Contract,Zone B,Temporary,Retirement,,Production       ,Field Operations,12-08-1967,MA,Project Manager,Female,20892,Other,Widowed,Fully Meets,3
22-Jan-20,11-Jun-29,Area Sales Manager,CCDR,Active,Contract,Zone B,Full-Time,Resignation,,Production       ,Field Operations,25-05-1995,MA,Coordinator,Male,24434,White,Single,Fully Meets,3
26-Jul-23,30-Sep-29,Production Technician II,PL,Active,Contract,Zone B,Part-Time,Retirement,,IT/IS,Field Operations,14-08-1992,MA,Foreman,Female,1015,Asian,Divorced,Fully Meets,1
06-Aug-23,28-Apr-21,Production Manager,EW,Active,Contract,Zone B,Full-Time,Unk,,Production       ,General - Sga,20-04-1960,MA,Controller,Male,29426,White,Divorced,Exceeds,5
11-Aug-18,28-Sep-29,Sales Manager,WBL,Active,Contract,Zone A,Part-Time,Resignation,,Production       ,Field Operations,09-07-2001,MA,Lineman,Male,42128,Other,Single,Fully Meets,3
