StartDate,ExitDate,Title,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating
11-Jan-20,06-Nov-21,Production Technician I,TNS,Future Start,Full-Time,Zone C,Part-Time,Involuntary,Great relate within you. Red bill unit school.,Production       ,Field Operations,03-04-1982,MA,Engineer,Female,82211,Asian,Single,PIP,3
05-Apr-21,02-Oct-26,Production Technician I,BPC,Future Start,Contract,Zone A,Part-Time,Involuntary,Food few generation seek outside.,Production       ,Project Management - Con,28-02-1998,AZ,Driver,Male,88059,Asian,Single,Fully Meets,4
31-Oct-19,01-Jan-30,Production Technician I,EW,Future Start,Contract,Zone A,Part-Time,Involuntary,Food few generation seek outside.,Production       ,General - Sga,27-02-1976,MA,Laborer,Male,77694,Asian,Single,Fully Meets,1
09-Jun-23,26-May-23,Production Technician I,EW,Future Start,Full-Time,Zone B,Part-Time,Involuntary,Food few generation seek outside.,Production       ,Yard (Material Handling),04-05-1946,MA,Laborer,Female,66557,Hispanic,Single,Fully Meets,3
23-Sep-21,26-Dec-29,Production Technician II,NEL,Future Start,Full-Time,Zone B,Full-Time,Involuntary,Food few generation seek outside.,Production       ,General - Con,31-10-1997,MA,Laborer,Male,73853,Asian,Single,Fully Meets,3
18-Jul-20,21-Sep-29,Production Technician I,EW,Active,Full-Time,Zone C,Part-Time,Involuntary,Food few generation seek outside.,Production       ,General - Sga,27-08-1981,MA,Technician,Male,27460,Hispanic,Divorced,Fully Meets,4
01-Mar-19,01-Jan-30,Sr. Accountant,PYZ,Future Start,Part-Time,Zone A,Part-Time,Involuntary,Great relate within you. Red bill unit school.,Production       ,General - Sga,23-10-1960,MA,Lineman,Male,1015,Other,Divorced,Exceeds,3
17-Jun-21,06-Mar-23,Production Technician II,WBL,Active,Contract,Zone B,Part-Time,Involuntary,Better design cause yet history decide.,Production       ,General - Sga,21-04-1965,MA,Technician,Male,82536,Other,Single,Fully Meets,3
19-Mar-21,25-May-23,Production Technician II,MSC,Future Start,Full-Time,Zone A,Part-Time,Involuntary,Great relate within you. Red bill unit school.,Production       ,Wireline Construction,25-07-1986,MA,Engineer,Male,4834,White,Divorced,Needs Improvement,1
06-Oct-19,13-Dec-21,Area Sales Manager,CCDR,Future Start,Contract,Zone B,Part-Time,Unk,Food few generation seek outside.,Sales,General - Sga,22-12-1962,MA,Administrative,Female,43347,Black,Widowed,Fully Meets,3
16-Nov-21,25-Dec-29,IT Manager - DB,EW,Future Start,Contract,Zone C,Part-Time,Unk,Great relate within you. Red bill unit school.,Production       ,General - Sga,23-12-1990,MA,Project Manager,Female,46921,Hispanic,Widowed,Exceeds,3
07-Jul-19,01-Sep-23,Production Technician I,PYZ,Future Start,Contract,Zone C,Part-Time,Involuntary,Food few generation seek outside.,Production       ,Field Operations,29-01-1946,MA,Laborer,Female,86133,Black,Single,Fully Meets,3
28-Mar-22,22-Jun-23,Production Technician I,PYZ,Future Start,Full-Time,Zone A,Part-Time,Unk,Food few generation seek outside.,Sales,General - Con,23-04-1970,MA,Laborer,Male,52997,Black,Widowed,Fully Meets,2
11-Aug-20,26-Dec-29,Production Technician I,EW,Future Start,Full-Time,Zone A,Temporary,Unk,Food few generation seek outside.,Production       ,Engineers,25-07-1970,MA,Director,Female,80474,Asian,Widowed,Fully Meets,1
09-Feb-22,30-Dec-29,Production Manager,WBL,Future Start,Part-Time,Zone B,Part-Time,Involuntary,Food few generation seek outside.,Production       ,Field Operations,11-05-1957,MA,Clerk,Female,6390,Other,Married,Fully Meets,2
12-Nov-20,31-Mar-29,Production Manager,CCDR,Active,Contract,Zone B,Part-Time,Unk,Food few generation seek outside.,Production       ,General - Sga,15-01-1975,MA,Technician,Female,94200,Other,Widowed,Fully Meets,4
28-Jan-21,22-Mar-22,Production Technician I,WBL,Active,Full-Time,Zone A,Part-Time,Involuntary,Great relate within you. Red bill unit school.,Production       ,Engineers,03-07-1963,MA,Technician,Male,72996,Black,Married,Exceeds,3
22-Dec-21,01-Jan-30,Production Technician I,TNS,Active,Full-Time,Zone A,Part-Time,Involuntary,Food few generation seek outside.,Production       ,General - Sga,15-01-1958,MA,Technician,Male,84609,Black,Married,Fully Meets,5
16-Oct-19,01-Jan-30,Production Technician I,BPC,Active,Part-Time,Zone B,Full-Time,Unk,Great relate within you. Red bill unit school.,Production       ,Underground,07-10-1969,ID,Technician,Male,9316,Asian,Widowed,Needs Improvement,5
08-May-20,30-Dec-29,Production Technician I,PYZ,Active,Part-Time,Zone A,Part-Time,Involuntary,Food few generation seek outside.,Production       ,General - Sga,22-09-1992,MA,Technician,Female,56438,Asian,Married,Fully Meets,3
20-Jul-21,06-Feb-23,Production Technician I,EW,Active,Part-Time,Zone A,Part-Time,Involuntary,Food few generation seek outside.,Production       ,General - Sga,09-06-1976,MA,Technician,Female,46186,Other,Widowed,Fully Meets,3
19-May-19,17-Dec-29,Production Technician I,PYZ,Future Start,Contract,Zone B,Part-Time,Unk,Food few generation seek outside.,Production       ,Field Operations,25-10-1986,MA,Laborer,Female,17194,White,Widowed,Fully Meets,3
01-Jul-19,13-Dec-29,Production Technician I,MSC,Active,Full-Time,Zone C,Temporary,Unk,Food few generation seek outside.,Production       ,General - Con,20-07-1988,MA,Technician,Female,29433,Asian,Widowed,Fully Meets,3
13-May-21,02-Mar-26,Production Technician I,EW,Active,Part-Time,Zone A,Part-Time,Involuntary,Food few generation seek outside.,Production       ,Field Operations,03-12-1953,MA,Technician,Male,56406,Hispanic,Married,Fully Meets,3
05-Oct-19,26-Oct-20,Production Technician II,PL,Future Start,Full-Time,Zone C,Part-Time,Voluntary,Food few generation seek outside.,Production       ,General - Sga,05-08-1963,MA,Laborer,Female,29282,Other,Widowed,Fully Meets,4
18-Sep-21,01-Jan-30,Production Manager,EW,Active,Full-Time,Zone C,Part-Time,Involuntary,Food few generation seek outside.,Production       ,General - Sga,31-07-1992,MA,Technician,Female,29254,Hispanic,Single,Fully Meets,3
18-Jun-22,01-Jan-30,Production Technician I,EW,Active,Full-Time,Zone C,Part-Time,Involuntary,Food few generation seek outside.,IT/IS,Field Operations,13-06-1973,MA,Technician,Female,63235,White,Single,Fully Meets,3
26-Jul-21,20-Dec-22,BI Developer,CCDR,Future Start,Contract,Zone C,Part-Time,Involuntary,Great relate within you. Red bill unit school.,IT/IS,Engineers,28-03-1959,MA,Engineer,Female,7775,Asian,Divorced,Exceeds,4
27-Oct-19,12-Dec-29,Production Technician I,EW,Active,Contract,Zone A,Part-Time,Involuntary,Food few generation seek outside.,Production       ,Field Operations,12-01-1981,MA,Technician,Female,87604,Asian,Single,Fully Meets,3
06-Jul-21,27-Mar-23,Production Technician I,NEL,Active,Full-Time,Zone C,Part-Time,Involuntary,Food few generation seek outside.,Production       ,Fielders,12-04-1995,MA,Technician,Female,59957,Black,Single,Fully Meets,1
03-Jul-19,27-Jul-22,Production Technician I,EW,Active,Full-Time,Zone B,Part-Time,Involuntary,Food few generation seek outside.,Production       ,General - Con,29-09-1983,MA,Technician,Male,48308,Asian,Married,Fully Meets,5
21-Oct-21,01-Jan-30,Production Technician I,EW,Active,Part-Time,Zone C,Part-Time,Involuntary,Food few generation seek outside.,Production       ,General - Sga,28-07-1971,MA,Technician,Male,29237,White,Single,Fully Meets,3
25-Mar-23,24-May-23,Production Technician I,BPC,Future Start,Part-Time,Zone B,Temporary,Involuntary,Food few generation seek outside.,Production       ,General - Sga,03-10-1947,MA,Operator,Male,35122,Asian,Married,Fully Meets,3
30-Jan-21,19-Nov-25,Production Technician I,MSC,Active,Full-Time,Zone B,Part-Time,Involuntary,Food few generation seek outside.,Sales,Field Operations,05-07-1958,MA,Technician,Male,44731,Other,Divorced,Fully Meets,3
08-Jan-21,09-Aug-21,Production Technician I,MSC,Future Start,Full-Time,Zone C,Part-Time,Involuntary,Food few generation seek outside.,Production       ,General - Sga,08-07-1946,MA,Coordinator,Male,17256,White,Single,Fully Meets,4
07-Mar-22,04-Apr-22,Production Technician I,CCDR,Active,Full-Time,Zone A,Part-Time,Involuntary,Great relate within you. Red bill unit school.,Production       ,General - Sga,14-04-1985,MA,Technician,Female,59990,Black,Married,Needs Improvement,3
03-Apr-21,01-Jan-30,Production Technician I,MSC,Future Start,Part-Time,Zone C,Temporary,Unk,Food few generation seek outside.,Production       ,General - Sga,01-06-1952,MA,Laborer,Male,27406,Asian,Widowed,Fully Meets,4
