StartDate,ExitDate,Title,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating
18-May-21,31-Dec-29,Production Technician I,MSC,Active,Contract,Zone B,Part-Time,Unk,,Production       ,Project Management - Con,18-08-1959,MA,Clerk,Female,80109,Black,Married,Fully Meets,3
01-Sep-20,25-Dec-18,Production Technician I,EW,Active,Contract,Zone A,Part-Time,Unk,By small force myself team industry.,Production       ,General - Sga,03-09-1966,MA,Engineer,Female,14769,Other,Single,Fully Meets,2
18-May-21,18-May-21,Production Technician I,PYZ,Active,Contract,Zone A,Full-Time,Involuntary,,Production       ,Engineers,30-11-1980,MA,Coordinator,Female,37246,White,Widowed,Fully Meets,3
23-Feb-21,31-Dec-29,Production Technician I,TNS,Active,Part-Time,Zone A,Part-Time,Unk,,Production       ,Field Operations,14-12-1980,MA,Splicer,Female,95108,Other,Single,Fully Meets,3
03-Feb-19,25-Dec-18,IT Manager - Support,WBL,Voluntarily Terminated,Contract,Zone B,Part-Time,Involuntary,Reality line toward follow well able.,Production       ,Underground,05-06-1963,MA,Technician,Female,85335,Asian,Widowed,Fully Meets,3
02-Jun-23,01-Jun-22,Network Engineer,CCDR,Active,Full-Time,Zone A,Part-Time,Involuntary,North rise until plan join.,IT/IS,Field Operations,14-01-1966,MA,Billing,Male,2307,Other,Married,Fully Meets,4
20-Apr-23,20-Jan-21,Production Technician II,BPC,Active,Part-Time,Zone B,Full-Time,Unk,,IT/IS,Splicing,18-04-1968,TX,Flagger,Female,87627,Black,Single,Fully Meets,4
17-May-19,25-Dec-18,Production Manager,SVG,Active,Full-Time,Zone B,Part-Time,Resignation,Glass minute shake food determine deep.,Production       ,Finance & Accounting,18-07-1944,MA,Tower Hand,Male,91981,White,Single,Fully Meets,3
18-Dec-21,17-Jan-19,Production Technician I,EW,Active,Full-Time,Zone A,Temporary,Unk,,Production       ,Aerial,01-12-1942,MA,Splicer,Female,80565,Asian,Single,Fully Meets,4
02-Jul-23,16-Feb-20,Production Technician I,BPC,Active,Part-Time,Zone A,Full-Time,Retirement,,Sales,General - Con,15-02-1996,MA,Project Manager,Male,77059,Hispanic,Divorced,Fully Meets,5
29-Apr-19,25-Dec-18,Area Sales Manager,TNS,Active,Contract,Zone C,Part-Time,Involuntary,Hour range a country focus.,Production       ,Aerial,25-09-1953,MA,Laborer,Female,21671,Hispanic,Widowed,Fully Meets,3
11-Feb-19,16-Sep-29,Area Sales Manager,WBL,Active,Part-Time,Zone B,Full-Time,Unk,,Production       ,Finance & Accounting,07-09-1999,MA,Services,Male,39662,Other,Married,Fully Meets,2
20-Jan-20,10-Sep-29,Production Technician I,PYZ,Active,Part-Time,Zone C,Part-Time,Unk,,Production       ,Executive,11-09-1961,MA,Director,Male,66346,Hispanic,Married,Needs Improvement,3
01-Oct-21,24-Oct-27,BI Developer,WBL,Active,Part-Time,Zone C,Full-Time,Unk,,IT/IS,Field Operations,07-06-1988,MA,Laborer,Female,32021,Hispanic,Single,Fully Meets,4
26-Oct-19,09-Dec-27,Production Technician II,SVG,Active,Full-Time,Zone B,Part-Time,Unk,,Production       ,Wireline Construction,11-03-1958,MA,Lineman,Female,41685,Asian,Married,Fully Meets,3
05-Aug-23,23-Jul-29,Production Technician II,PYZ,Active,Part-Time,Zone A,Full-Time,Unk,,Production       ,General - Sga,24-09-1980,MA,Splicer,Male,64144,Hispanic,Widowed,Fully Meets,2
11-Mar-23,03-Feb-20,Production Technician I,TNS,Voluntarily Terminated,Part-Time,Zone A,Full-Time,Involuntary,Happen ability as term fish.,Production       ,Project Management - Con,27-03-1972,MA,Technician,Female,45494,Other,Widowed,Fully Meets,3
24-Apr-21,25-Dec-18,Production Technician I,NEL,Active,Contract,Zone A,Temporary,Voluntary,,Production       ,Catv,23-07-1993,MA,Laborer,Male,65065,Asian,Divorced,Exceeds,3
13-Jul-20,22-Dec-29,Production Technician I,PL,Active,Contract,Zone A,Full-Time,Unk,,Sales,Wireless,10-06-1980,ID,Lineman,Female,20805,Other,Divorced,Fully Meets,3
20-Dec-18,25-Dec-18,Production Technician I,WBL,Active,Part-Time,Zone B,Temporary,Unk,,Production       ,General - Con,30-06-1974,MA,Driver,Female,2003,Asian,Divorced,Needs Improvement,4
17-Dec-18,04-Mar-29,Production Manager,NEL,Active,Part-Time,Zone C,Full-Time,Voluntary,Democrat stage daughter any own whom.,Sales,Engineers,26-04-1958,NY,Electrician,Female,33484,Hispanic,Married,Needs Improvement,3
28-Jul-22,29-Aug-27,Production Technician I,PYZ,Active,Full-Time,Zone B,Full-Time,Retirement,,Production       ,Catv,02-12-1997,MA,Shop,Female,62366,Black,Widowed,Fully Meets,2
04-Jul-23,25-Dec-18,Area Sales Manager,EW,Terminated for Cause,Full-Time,Zone A,Part-Time,Involuntary,Question kitchen gun find four wall heavy.,Production       ,Engineers,23-12-1945,MA,Project Manager,Male,97149,Asian,Married,Fully Meets,1
31-Dec-19,17-Nov-27,Production Technician I,PL,Active,Full-Time,Zone C,Temporary,Unk,Administration away choose.,Production       ,People Services,11-01-1975,AZ,Foreman,Female,68697,Black,Widowed,Fully Meets,3
26-Oct-21,25-Dec-18,Production Technician II,PL,Active,Contract,Zone C,Part-Time,Involuntary,Outside sing song relationship action teach.,Production       ,Engineers,07-04-1967,MA,Foreman,Male,83415,Black,Single,Fully Meets,4
21-Jun-22,27-Dec-29,Production Technician I,PYZ,Active,Full-Time,Zone C,Full-Time,Unk,Information step name three choose.,Production       ,Engineers,14-04-1971,MA,Runner,Female,39706,Black,Widowed,Fully Meets,3
25-Dec-20,26-Apr-19,Software Engineer,CCDR,Active,Full-Time,Zone A,Temporary,Unk,Suffer rock nothing happen strong major spend.,Production       ,Field Operations,08-03-1978,MA,Clerk,Male,85311,Hispanic,Single,Fully Meets,3
24-Feb-23,25-Feb-20,Production Technician I,EW,Voluntarily Terminated,Contract,Zone A,Part-Time,Voluntary,,Production       ,Wireline Construction,12-08-1974,MA,Engineer,Male,71764,White,Single,Fully Meets,3
14-Feb-21,25-Dec-18,Area Sales Manager,PYZ,Voluntarily Terminated,Full-Time,Zone B,Part-Time,Involuntary,Summer begin quickly.,Production       ,Wireline Construction,22-10-1990,MA,Manager,Female,35168,Other,Widowed,Fully Meets,3
15-Mar-20,08-Jan-27,Area Sales Manager,EW,Voluntarily Terminated,Part-Time,Zone C,Part-Time,Unk,Better design cause yet history decide.,Production       ,General - Con,21-09-1944,MA,Administrator,Male,25843,White,Widowed,Exceeds,2
16-Jun-23,29-Dec-29,Production Technician II,TNS,Active,Contract,Zone B,Part-Time,Unk,,IT/IS,General - Con,14-06-1979,MA,Foreman,Male,30185,Asian,Married,Fully Meets,3
16-Nov-22,22-Sep-19,Production Technician II,PYZ,Voluntarily Terminated,Contract,Zone B,Part-Time,Voluntary,Size shake far example.,Production       ,Aerial,26-07-1966,MA,Laborer,Female,42045,Hispanic,Widowed,Fully Meets,2
10-Aug-21,30-Nov-21,Production Technician I,NEL,Active,Contract,Zone B,Full-Time,Unk,Member space player.,Production       ,Engineers,30-08-1949,MA,Engineer,Female,48562,White,Single,Fully Meets,4
13-Apr-21,25-Dec-18,Production Technician I,EW,Active,Part-Time,Zone A,Full-Time,Resignation,Lot as card response consumer.,Production       ,General - Sga,05-10-1952,MA,Coordinator,Female,24462,White,Single,Fully Meets,4
12-Feb-22,31-Dec-29,Area Sales Manager,WBL,Active,Part-Time,Zone B,Full-Time,Unk,,IT/IS,Splicing,08-12-1992,TX,Foreman,Female,1945,Black,Single,Needs Improvement,3
02-Oct-21,28-Dec-29,Production Technician I,PL,Active,Full-Time,Zone A,Part-Time,Unk,,Production       ,Yard (Material Handling),19-04-1963,MA,Foreman,Male,2709,Hispanic,Single,Fully Meets,1
18-Nov-20,24-Nov-29,Production Technician I,NEL,Active,Part-Time,Zone A,Temporary,Unk,,Sales,Field Operations,14-02-1972,MA,Engineer,Male,29950,Asian,Single,Fully Meets,3
31-Aug-22,17-May-29,Software Engineer,TNS,Voluntarily Terminated,Part-Time,Zone A,Part-Time,Unk,,Production       ,Aerial,05-09-1998,MA,Manager,Male,24566,Asian,Single,Needs Improvement,5
01-Mar-23,25-Dec-18,Production Technician I,BPC,Active,Contract,Zone A,Full-Time,Unk,Yourself book budget product.,Production       ,General - Sga,16-08-1956,MA,Planner,Female,18086,Asian,Married,Fully Meets,4
23-Nov-20,28-Dec-29,Production Technician I,EW,Active,Part-Time,Zone B,Full-Time,Unk,,Production       ,Field Operations,23-11-1980,MA,Technician,Male,12284,White,Single,Fully Meets,3
10-Jun-23,21-Oct-29,Network Engineer,BPC,Active,Part-Time,Zone A,Full-Time,Unk,,Sales,Engineers,11-12-1992,MA,Splicer,Female,9233,Asian,Widowed,Exceeds,3
11-Dec-18,25-Dec-18,Production Technician II,TNS,Active,Full-Time,Zone B,Full-Time,Retirement,Cultural responsibility whose wear.,IT/IS,Executive,15-07-1967,KY,Clerk,Male,80052,Other,Married,Fully Meets,1
24-Feb-20,31-Dec-29,Production Technician I,MSC,Active,Contract,Zone A,Part-Time,Unk,,Production       ,Finance & Accounting,07-11-1992,MA,Foreman,Female,28015,Asian,Single,Fully Meets,1
26-Jul-22,31-Dec-29,Production Technician I,NEL,Active,Part-Time,Zone B,Temporary,Unk,,Production       ,Engineers,11-02-1945,MA,Engineer,Male,17556,Hispanic,Divorced,Exceeds,5
17-Sep-19,16-Dec-29,Software Engineer,NEL,Active,Part-Time,Zone C,Part-Time,Unk,,Production       ,Project Management - Con,23-02-1963,MA,Laborer,Male,3676,Other,Widowed,Fully Meets,2
29-Jun-21,25-Dec-18,Production Technician II,BPC,Active,Part-Time,Zone B,Part-Time,Resignation,Matter man skill produce poor.,Production       ,Field Operations,09-10-1977,MA,Associate,Male,8403,Other,Married,Exceeds,4
12-Sep-18,27-Jun-21,Production Technician I,CCDR,Active,Full-Time,Zone C,Temporary,Voluntary,,Production       ,General - Con,15-08-1976,MA,Driller,Male,49305,Asian,Widowed,Fully Meets,3
09-Nov-21,25-Dec-18,Data Analyst,NEL,Active,Part-Time,Zone C,Temporary,Involuntary,Station another son positive.,IT/IS,Field Operations,08-12-1952,MA,Driller,Female,16512,Other,Single,Fully Meets,3
05-Jan-23,31-Dec-29,IT Support,WBL,Active,Contract,Zone C,Part-Time,Unk,,Production       ,General - Con,25-04-1982,ID,Splicer,Male,76257,Other,Single,Fully Meets,2
13-Jun-19,25-Dec-18,Production Technician I,SVG,Active,Full-Time,Zone C,Temporary,Unk,Firm national vote result.,Production       ,Field Operations,04-05-1955,MA,Groundman,Male,16579,Other,Divorced,PIP,3
22-Jul-21,25-Dec-18,Accountant I,PYZ,Future Start,Full-Time,Zone B,Temporary,Resignation,Health section option interview.,IT/IS,General - Con,17-03-1945,CA,Manager,Female,96174,White,Divorced,Fully Meets,3
27-Feb-20,31-Dec-29,Production Technician I,WBL,Active,Part-Time,Zone A,Part-Time,Unk,,Production       ,Wireline Construction,21-12-1950,MA,Supervisor,Male,71463,Black,Married,Fully Meets,4
24-Feb-22,11-Oct-24,Production Technician I,BPC,Voluntarily Terminated,Contract,Zone B,Part-Time,Resignation,,Production       ,Field Operations,22-09-1942,MA,Lineman,Male,37809,Other,Widowed,Needs Improvement,3
09-May-22,01-Jan-30,Production Technician II,PYZ,Voluntarily Terminated,Full-Time,Zone A,Full-Time,Unk,,Software Engineering,General - Eng,26-11-1981,MA,Mechanic,Male,24607,White,Widowed,Fully Meets,1
24-Apr-22,06-May-19,Production Technician I,NEL,Active,Contract,Zone B,Temporary,Voluntary,Exactly vote including easy.,Production       ,Field Operations,08-05-1978,MA,Technician,Female,53247,Asian,Widowed,Fully Meets,2
31-Jan-23,31-Dec-29,Production Technician I,CCDR,Active,Part-Time,Zone B,Full-Time,Unk,,Production       ,Engineers,09-02-1942,MA,Splicer,Female,10100,Other,Married,Fully Meets,3
