StartDate,ExitDate,Title,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating
12-Jan-19,01-Jan-30,Production Technician I,CCDR,Active,Full-Time,Zone A,Full-Time,Unk,,IT/IS,General - Con,24-04-1999,MA,Laborer,Male,46191,White,Single,Fully Meets,3
20-Jun-23,12-Aug-22,Production Technician I,NEL,Active,Full-Time,Zone A,Full-Time,Unk,,Production       ,Project Management - Con,20-07-1959,MA,Coordinator,Female,30332,Asian,Married,Fully Meets,3
13-Jul-19,12-Nov-29,Production Technician I,BPC,Active,Full-Time,Zone B,Part-Time,Unk,,Production       ,Field Operations,27-02-1951,MA,Laborer,Female,11057,Black,Single,Fully Meets,3
31-May-19,10-Nov-21,Production Technician I,PYZ,Active,Full-Time,Zone C,Temporary,Involuntary,Teacher door money tend song.,IT/IS,Field Operations,21-07-1996,MA,Manager,Male,90020,Other,Divorced,Fully Meets,3
02-Jan-19,11-Dec-29,Area Sales Manager,CCDR,Active,Full-Time,Zone A,Temporary,Unk,,IT/IS,General - Con,10-06-1999,MA,Laborer,Male,87791,Black,Single,Fully Meets,3
22-Jul-19,28-Jul-22,Production Technician I,WBL,Active,Part-Time,Zone A,Full-Time,Voluntary,,Production       ,Field Operations,08-12-1974,MA,Laborer,Female,7017,Black,Widowed,Fully Meets,3
18-May-19,16-Nov-29,Production Technician I,WBL,Active,Part-Time,Zone B,Temporary,Unk,,Production       ,General - Con,28-03-1968,MA,Laborer,Female,74925,White,Single,Fully Meets,3
04-Jan-20,15-Dec-22,Area Sales Manager,PYZ,Active,Full-Time,Zone C,Temporary,Resignation,Miss onto none our discussion year.,Sales,Field Operations,04-10-1955,MA,Engineer,Male,95265,Asian,Divorced,Fully Meets,2
21-Jun-22,01-Jan-30,Production Technician I,SVG,Active,Full-Time,Zone A,Full-Time,Unk,,Production       ,Field Operations,26-01-1951,MA,Laborer,Female,41417,Asian,Divorced,Fully Meets,3
10-Oct-19,01-Jan-30,Production Technician I,BPC,Active,Contract,Zone B,Full-Time,Unk,,Production       ,Field Operations,18-12-1959,MA,Laborer,Female,78007,Other,Married,Fully Meets,3
20-Sep-19,01-Jan-30,Production Technician I,PL,Active,Full-Time,Zone A,Full-Time,Unk,,Production       ,Engineers,24-10-1957,MA,Engineer,Male,11518,Asian,Divorced,Fully Meets,3
17-Jun-23,14-Mar-23,Area Sales Manager,PYZ,Active,Contract,Zone C,Temporary,Resignation,Inside week also so.,Sales,Field Operations,02-02-1989,TX,Laborer,Male,88912,Other,Married,Fully Meets,2
09-Dec-22,13-Aug-23,Production Technician I,TNS,Active,Contract,Zone B,Full-Time,Voluntary,Production several care various seek.,Production       ,Field Operations,24-03-1958,MA,Laborer,Female,74594,Asian,Married,Fully Meets,3
15-Aug-21,27-Feb-23,Area Sales Manager,MSC,Active,Full-Time,Zone C,Full-Time,Unk,,IT/IS,Field Operations,17-10-1948,MA,Laborer,Male,6399,Black,Single,Fully Meets,3
29-Oct-19,08-Dec-29,Production Technician I,CCDR,Active,Full-Time,Zone A,Temporary,Unk,,Production       ,Field Operations,29-04-1948,MA,Laborer,Male,18167,White,Single,Fully Meets,3
27-Nov-21,23-Apr-23,Production Technician I,SVG,Active,Part-Time,Zone B,Temporary,Resignation,Too former relationship risk.,Production       ,Field Operations,23-09-1954,MA,Laborer,Female,65827,Other,Divorced,Fully Meets,3
16-Nov-18,06-Oct-20,Production Technician I,MSC,Active,Part-Time,Zone B,Part-Time,Voluntary,Nature here wrong why.,IT/IS,Field Operations,21-04-1993,MA,Laborer,Male,5213,Black,Single,Fully Meets,3
29-Oct-22,08-Feb-23,Production Technician I,PYZ,Active,Full-Time,Zone A,Temporary,Resignation,Much try remember natural.,Production       ,Field Operations,18-01-1989,MA,Engineer,Female,76549,Asian,Married,Fully Meets,3
30-Apr-19,01-Jan-30,Production Technician I,BPC,Active,Contract,Zone B,Temporary,Unk,,Production       ,Field Operations,14-08-1957,MA,Laborer,Female,71612,Other,Married,Fully Meets,3
07-Sep-22,20-Feb-23,Production Technician I,TNS,Active,Contract,Zone A,Temporary,Voluntary,,Production       ,Field Operations,26-03-1996,MA,Laborer,Female,55276,Other,Married,Fully Meets,3
11-Nov-19,30-Dec-29,Software Engineer,CCDR,Active,Full-Time,Zone A,Temporary,Unk,,IT/IS,Field Operations,23-01-1947,MA,Laborer,Male,1015,Asian,Single,Fully Meets,3
29-Sep-22,30-Jun-23,Production Technician I,PYZ,Active,Full-Time,Zone A,Temporary,Involuntary,,Production       ,Field Operations,01-04-1989,MA,Engineer,Male,72911,Other,Married,Fully Meets,3
28-Dec-22,18-Apr-23,Production Technician I,PYZ,Active,Full-Time,Zone C,Temporary,Retirement,,IT/IS,Field Operations,23-11-1948,MA,Laborer,Male,89892,Asian,Single,Fully Meets,3
28-May-23,24-Mar-23,Area Sales Manager,NEL,Active,Full-Time,Zone C,Temporary,Retirement,,Sales,Field Operations,12-04-1947,MA,Foreman,Male,82314,Asian,Widowed,Fully Meets,2
04-Apr-22,27-Feb-23,Production Technician I,PYZ,Active,Full-Time,Zone A,Temporary,Voluntary,Much try remember natural.,Production       ,Field Operations,30-04-2000,MA,Engineer,Female,79201,Asian,Married,Fully Meets,3
19-Jun-22,01-Jan-30,Production Technician I,CCDR,Active,Part-Time,Zone A,Temporary,Unk,,Production       ,General - Con,10-09-1997,MA,Laborer,Female,85352,Black,Single,Fully Meets,3
22-Nov-19,01-Aug-22,Production Technician I,WBL,Active,Full-Time,Zone B,Temporary,Retirement,Information step name three choose.,Production       ,Field Operations,13-01-1951,MA,Laborer,Female,6254,Asian,Divorced,Fully Meets,3
20-Apr-19,09-Dec-29,Production Technician I,TNS,Active,Part-Time,Zone A,Temporary,Unk,,Production       ,General - Con,08-06-1955,MA,Laborer,Female,74845,White,Single,Fully Meets,3
18-Jan-21,25-Dec-29,Production Technician I,CCDR,Active,Part-Time,Zone B,Temporary,Unk,,Production       ,Field Operations,08-11-1951,MA,Laborer,Female,51201,Black,Single,Fully Meets,3
14-Jul-22,01-Jan-30,Production Technician I,EW,Active,Contract,Zone A,Temporary,Unk,,Production       ,Field Operations,12-09-1946,MA,Laborer,Female,53713,Black,Single,Fully Meets,3
26-Sep-19,01-Jan-30,Production Technician I,CCDR,Active,Part-Time,Zone A,Part-Time,Unk,,Production       ,Field Operations,08-04-1948,MA,Laborer,Female,89580,Black,Single,Fully Meets,3
29-May-19,27-Mar-23,Area Sales Manager,PYZ,Active,Contract,Zone A,Temporary,Voluntary,,IT/IS,Field Operations,16-03-1952,MA,Laborer,Male,5327,Black,Single,Fully Meets,3
01-May-19,03-May-22,BI Developer,MSC,Active,Full-Time,Zone A,Full-Time,Retirement,Brother election movie born enough.,IT/IS,Field Operations,15-01-1954,MA,Laborer,Male,12696,Asian,Divorced,Fully Meets,3
19-Dec-22,30-Nov-22,Production Technician I,SVG,Active,Full-Time,Zone A,Temporary,Resignation,Participant create society method tough team.,Production       ,Field Operations,16-01-1950,MA,Laborer,Female,65437,Asian,Married,Fully Meets,3
11-Aug-18,27-Oct-20,Production Technician I,WBL,Active,Part-Time,Zone C,Part-Time,Unk,,Production       ,General - Con,12-01-1995,MA,Laborer,Female,10052,Black,Single,Fully Meets,3
