StartDate,ExitDate,Title,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating
06-Aug-23,01-Jan-30,Sr. Network Engineer,PYZ,Active,Part-Time,Zone C,Part-Time,Unk,,Production       ,Aerial,03-09-1941,AL,Accounting,Male,97893.0,Black,Widowed,Fully Meets,3
06-Aug-23,01-Jan-30,Accountant I,TNS,Active,Part-Time,Zone B,Part-Time,Involuntary,A discussion quite mission.,Executive Office,Yard (Material Handling),09-07-2001,WA,Welder,Male,97893.0,White,Single,Fully Meets,3
06-Aug-23,01-Jan-30,Sr. Network Engineer,MSC,Active,Contract,Zone C,Temporary,Unk,,Production       ,Yard (Material Handling),09-07-2001,AL,Welder,Male,1015.0,Asian,Widowed,Fully Meets,3
06-Aug-23,25-Dec-18,Sr. Network Engineer,NEL,Active,Full-Time,Zone C,Part-Time,Unk,A discussion quite mission.,Production       ,Aerial,09-07-2001,AL,Welder,Male,97893.0,Other,Widowed,Needs Improvement,1
11-Aug-18,01-Jan-30,Sr. Network Engineer,TNS,Active,Contract,Zone C,Part-Time,Involuntary,A discussion quite mission.,Production       ,Aerial,03-09-1941,AL,Welder,Male,1015.0,Other,Widowed,Fully Meets,2
11-Aug-18,25-Dec-18,Accountant I,MSC,Active,Contract,Zone C,Temporary,Voluntary,,Production       ,Aerial,03-09-1941,WA,Welder,Male,1015.0,White,Single,Fully Meets,3
06-Aug-23,25-Dec-18,Sr. Network Engineer,MSC,Active,Full-Time,Zone C,Temporary,Unk,,Production       ,Aerial,03-09-1941,AL,Welder,Male,1015.0,Asian,Widowed,Fully Meets,3
06-Aug-23,01-Jan-30,Accountant I,TNS,Active,Part-Time,Zone C,Temporary,Resignation,A discussion quite mission.,Executive Office,Yard (Material Handling),09-07-2001,AL,Welder,Male,97893.0,Other,Widowed,PIP,3
11-Aug-18,01-Jan-30,Sr. Network Engineer,EW,Active,Part-Time,Zone B,Temporary,Unk,,Sales,Aerial,09-07-2001,AL,Accounting,Female,97893.0,Asian,Single,Fully Meets,2
06-Aug-23,01-Jan-30,Accountant I,TNS,Active,Contract,Zone C,Temporary,Unk,,Production       ,Aerial,03-09-1941,WA,Accounting,Male,1015.0,White,Widowed,Fully Meets,3
