StartDate,ExitDate,Title,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating
10-Apr-23,01-Jan-30,Data Analyst,NEL,Active,Contract,Zone C,Full-Time,Unk,,Production       ,Field Operations,20-06-1944,MA,Foreman,Female,75553.0,Asian,Divorced,Exceeds,3
24-May-22,01-Jan-30,Production Technician II,PL,Active,Part-Time,Zone B,Temporary,Unk,,Production       ,General - Con,23-12-1995,MA,Administrative,Female,87419.0,Other,Married,Fully Meets,2
29-May-20,02-Nov-21,Network Engineer,TNS,Active,Full-Time,Zone C,Full-Time,Involuntary,Light free he rest thought.,Sales,General - Con,23-12-1949,MA,Laborer,Male,61896.0,Asian,Single,Fully Meets,3
21-Jan-22,01-Jan-30,Production Technician I,TNS,Active,Full-Time,Zone C,Full-Time,Unk,,Production       ,Wireline Construction,10-08-1969,MA,Coordinator,Female,62386.0,White,Divorced,Fully Meets,5
09-Feb-21,22-Jun-29,Production Technician I,PL,Active,Contract,Zone C,Full-Time,Unk,,Production       ,General - Eng,13-02-1964,MA,Foreman,Male,8717.0,White,Single,PIP,3
27-Dec-21,20-Jan-24,BI Developer,MSC,Active,Part-Time,Zone C,Temporary,Involuntary,Year color woman become year scene very.,IT/IS,General - Con,18-12-1974,TN,Laborer,Male,28294.0,Asian,Single,Fully Meets,5
01-Feb-22,01-Jan-30,Software Engineer,PL,Active,Full-Time,Zone C,Temporary,Unk,,Software Engineering,Engineers,19-06-1995,MA,Coordinator,Male,64590.0,Other,Married,Fully Meets,2
29-Jun-21,11-Sep-22,Sr. Accountant,MSC,Active,Full-Time,Zone C,Full-Time,Involuntary,Law safe yard market likely wife case action.,Production       ,Wireline Construction,07-04-1951,MA,Billing,Female,18023.0,Asian,Divorced,Fully Meets,4
07-Feb-19,21-Nov-22,Area Sales Manager,PYZ,Active,Contract,Zone B,Full-Time,Voluntary,Finish law price under.,IT/IS,Splicing,19-03-1993,MA,Mechanic,Male,49411.0,Hispanic,Married,Needs Improvement,1
01-Jul-22,27-Jun-22,Production Technician I,BPC,Voluntarily Terminated,Full-Time,Zone C,Part-Time,Involuntary,Dinner level write land effort.,Production       ,Fielders,30-12-1956,MA,Laborer,Female,81610.0,Black,Single,Fully Meets,3
22-Jul-21,21-May-23,Software Engineer,BPC,Voluntarily Terminated,Part-Time,Zone C,Part-Time,Involuntary,Maintain program process present knowledge PM.,Production       ,Field Operations,04-12-1972,MA,Driver,Female,60961.0,Other,Single,Fully Meets,3
06-Apr-23,09-Aug-28,Production Technician I,PYZ,Active,Contract,Zone B,Part-Time,Unk,,Production       ,General - Eng,18-03-1944,MA,Technician,Female,59611.0,White,Married,Fully Meets,3
16-Apr-20,01-Jan-30,Production Technician I,EW,Active,Contract,Zone A,Part-Time,Unk,,Production       ,Engineers,20-09-1980,MA,Technician,Female,61168.0,Hispanic,Married,Exceeds,3
29-Jan-19,17-Dec-22,BI Developer,NEL,Active,Part-Time,Zone B,Temporary,Resignation,Value class especially.,IT/IS,Field Operations,10-11-1958,MA,Associate,Male,25148.0,Asian,Divorced,Exceeds,3
23-Feb-21,26-Aug-23,Production Technician I,SVG,Active,Contract,Zone A,Temporary,Voluntary,Much try remember natural.,Production       ,General - Con,21-08-1959,MA,Engineer,Female,35639.0,Asian,Divorced,Needs Improvement,2
16-Sep-20,31-Aug-27,Production Technician I,PYZ,Active,Full-Time,Zone B,Temporary,Unk,,Production       ,Field Operations,09-03-1999,MA,Director,Male,69630.0,Black,Single,Fully Meets,3
03-Nov-21,16-Sep-22,Production Technician II,TNS,Active,Full-Time,Zone A,Temporary,Involuntary,Unit computer what age career.,IT/IS,General - Con,24-07-1967,MA,Engineer,Female,26295.0,Hispanic,Divorced,Fully Meets,2
06-Mar-22,06-Apr-24,Software Engineer,EW,Active,Part-Time,Zone C,Part-Time,Unk,,Production       ,Project Management - Con,04-01-1986,MA,Engineer,Male,35049.0,Asian,Single,Fully Meets,1
26-Oct-19,07-Oct-27,Shared Services Manager,CCDR,Active,Part-Time,Zone C,Temporary,Unk,Exactly vote including easy.,Production       ,Engineers,26-09-1999,MA,Supervisor,Female,3808.0,Black,Divorced,Fully Meets,3
21-Jun-19,05-Mar-24,BI Developer,NEL,Active,Contract,Zone B,Part-Time,Unk,,IT/IS,Project Management - Con,06-11-1964,MA,Coordinator,Female,71094.0,White,Married,Fully Meets,3
15-Aug-19,05-Oct-20,Production Technician I,NEL,Active,Contract,Zone C,Temporary,Resignation,Opportunity place deal.,Production       ,Project Management - Con,27-12-1947,MA,Project Manager,Female,19560.0,Asian,Widowed,PIP,3
20-Mar-23,05-Jul-23,Production Technician I,EW,Active,Part-Time,Zone B,Full-Time,Retirement,Fund nor half early miss follow.,Production       ,Shop (Fleet),20-06-1978,MA,Shop,Female,12751.0,Other,Married,Fully Meets,1
09-Oct-19,01-Jan-30,Production Manager,NEL,Active,Part-Time,Zone B,Part-Time,Unk,,Production       ,Yard (Material Handling),07-09-1950,MA,Project Manager,Female,39330.0,Other,Single,Fully Meets,5
16-Nov-20,13-Jan-22,Area Sales Manager,BPC,Active,Part-Time,Zone B,Full-Time,Resignation,Degree wish science when thing week old.,IT/IS,Engineers,29-03-1954,MA,Manager,Male,58724.0,White,Divorced,Fully Meets,3
10-Dec-21,05-Jun-28,Production Technician I,PYZ,Active,Full-Time,Zone B,Full-Time,Unk,,Production       ,Yard (Material Handling),11-05-1971,MA,Foreman,Female,24435.0,Asian,Married,Fully Meets,3
21-Aug-19,01-Jan-30,Production Technician II,CCDR,Active,Contract,Zone A,Full-Time,Unk,,Production       ,General - Sga,10-01-1977,MA,Foreman,Male,46688.0,White,Divorced,Fully Meets,3
18-Jul-21,01-Jan-30,Production Technician I,PYZ,Active,Part-Time,Zone A,Part-Time,Unk,,Production       ,Field Operations,20-01-1964,MA,Laborer,Female,8052.0,White,Married,Fully Meets,2
28-May-23,02-May-23,Production Technician I,PYZ,Active,Full-Time,Zone A,Part-Time,Voluntary,Look dark travel herself election college what.,Production       ,Fielders,03-01-1968,MA,Lineman,Female,17272.0,Asian,Divorced,Fully Meets,2
02-Aug-19,05-Jul-29,Production Technician I,NEL,Active,Contract,Zone A,Full-Time,Involuntary,,Production       ,Wireline Construction,26-02-1968,MA,Coordinator,Male,39220.0,Asian,Single,Exceeds,1
30-Oct-21,01-Jan-30,Production Technician I,BPC,Active,Full-Time,Zone B,Part-Time,Unk,,Production       ,Aerial,01-06-1963,MA,Laborer,Female,22108.0,Other,Divorced,Fully Meets,2
11-Sep-20,27-Jun-26,Production Manager,PL,Active,Full-Time,Zone B,Full-Time,Unk,,Production       ,Field Operations,29-11-1984,MA,Laborer,Male,37387.0,White,Divorced,Fully Meets,4
06-Jul-23,13-Jan-28,Software Engineer,EW,Voluntarily Terminated,Contract,Zone C,Part-Time,Unk,,IT/IS,Executive,18-11-1968,MA,Director,Male,21322.0,Asian,Single,Fully Meets,3
21-Aug-20,01-Jan-30,BI Developer,PYZ,Active,Part-Time,Zone C,Full-Time,Unk,,Production       ,Engineers,26-01-1968,MA,Technician,Male,81842.0,Other,Married,Needs Improvement,1
