StartDate,ExitDate,Title,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating
07-Jun-22,,Area Sales Manager,PL,Active,Contract,Zone B,Full-Time,Involuntary,,Sales,Project Management - Con,18-12-1982,CA,Laborer,Female,88106,Hispanic,Widowed,Fully Meets,2
30-Aug-21,,Area Sales Manager,CCDR,Active,Part-Time,Zone C,Full-Time,Unk,,Sales,Field Operations,31-07-1973,ND,Locator,Male,50151,Hispanic,Widowed,Fully Meets,5
11-Oct-20,,Area Sales Manager,NEL,Active,Contract,Zone B,Temporary,Unk,,Sales,General - Con,11-05-1950,IN,Manager,Male,65099,Other,Married,Fully Meets,1
07-Aug-22,27-Feb-23,Area Sales Manager,CCDR,Active,Full-Time,Zone B,Part-Time,Resignation,Wall body wonder successful.,Sales,Field Operations,04-08-1978,MA,Laborer,Female,83182,White,Widowed,Fully Meets,4
07-Jun-19,10-Mar-21,Area Sales Manager,NEL,Active,Part-Time,Zone B,Temporary,Unk,,Sales,Splicing,25-05-1953,IN,Engineer,Female,92237,White,Single,Fully Meets,2
05-Nov-19,06-Dec-22,Area Sales Manager,PYZ,Future Start,Contract,Zone C,Full-Time,Unk,,IT/IS,Wireline Construction,24-03-1952,KY,Director,Male,77738,Other,Widowed,Fully Meets,5
03-Aug-21,12-Apr-23,Area Sales Manager,CCDR,Active,Contract,Zone B,Temporary,Voluntary,,Sales,Fielders,31-12-1993,CO,Labor,Female,47040,Asian,Divorced,Needs Improvement,2
18-Jun-19,18-Oct-20,Area Sales Manager,PL,Active,Part-Time,Zone A,Temporary,Unk,,Sales,Wireline Construction,08-06-1944,TX,Laborer,Female,51502,White,Widowed,Fully Meets,2
27-Nov-19,28-Oct-21,Area Sales Manager,CCDR,Active,Full-Time,Zone C,Temporary,Unk,,Sales,Wireline Construction,23-12-1999,ND,Supervisor,Female,37953,Black,Widowed,Fully Meets,2
28-Dec-19,08-Mar-23,Area Sales Manager,EW,Active,Contract,Zone A,Part-Time,Resignation,Line later deal stand sometimes too mind.,Sales,Finance & Accounting,31-07-1985,KY,Specialist,Female,33482,Asian,Divorced,Needs Improvement,2
08-Jan-19,25-Mar-22,Area Sales Manager,MSC,Active,Part-Time,Zone A,Full-Time,Unk,,IT/IS,Wireline Construction,16-05-1972,MA,Administrator,Male,90801,Asian,Married,Fully Meets,1
23-May-23,,Area Sales Manager,CCDR,Active,Contract,Zone B,Part-Time,Voluntary,Red some option.,Sales,Wireline Construction,08-06-1960,KY,Foreman,Female,76950,Black,Divorced,Fully Meets,2
23-May-23,,Area Sales Manager,TNS,Active,Contract,Zone B,Full-Time,Involuntary,Several young whether that expert.,Sales,Wireline Construction,06-10-1980,CA,Laborer,Male,26185,Hispanic,Married,Fully Meets,4
26-Jul-20,,Area Sales Manager,CCDR,Active,Contract,Zone A,Temporary,Voluntary,School see rest firm I.,IT/IS,Shop (Fleet),26-10-1997,IN,Foreman,Male,34486,Other,Married,Fully Meets,4
20-Sep-21,16-Sep-22,Area Sales Manager,MSC,Active,Part-Time,Zone C,Part-Time,Retirement,Foot in theory minute recognize test.,Sales,Project Management - Con,09-06-1960,TX,Laborer,Male,53872,Hispanic,Widowed,Fully Meets,3
19-Oct-22,,Area Sales Manager,EW,Active,Contract,Zone A,Full-Time,Unk,Foot in theory minute recognize test.,Sales,Finance & Accounting,02-01-2000,KY,Laborer,Female,30183,Other,Divorced,Fully Meets,1
08-Mar-19,04-Jul-22,Area Sales Manager,WBL,Active,Full-Time,Zone B,Temporary,Unk,,Sales,General - Sga,07-06-1947,CO,Technician,Male,60651,Black,Married,Exceeds,2
06-Apr-23,,Area Sales Manager,TNS,Active,Part-Time,Zone A,Temporary,Unk,,Sales,General - Con,14-01-1964,IN,Coordinator,Female,8937,Hispanic,Married,Fully Meets,4
23-Sep-20,,Area Sales Manager,TNS,Active,Full-Time,Zone C,Temporary,Voluntary,Inside week also so.,Sales,Project Management - Con,30-11-1986,TX,Foreman,Male,39479,Other,Widowed,Exceeds,2
18-Mar-23,,Area Sales Manager,EW,Active,Part-Time,Zone A,Temporary,Resignation,,Sales,Wireless,07-06-1975,TX,Manager,Male,31114,Asian,Widowed,Fully Meets,2
