StartDate,ExitDate,Title,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating
25-Mar-19,,Area Sales Manager,WBL,Active,Contract,Zone C,Part-Time,Unk,,Sales,General - Con,06-07-1958,TX,Engineer,Female,80214,Asian,Widowed,Fully Meets,2
29-Apr-22,,Area Sales Manager,CCDR,Active,Contract,Zone B,Temporary,Voluntary,,Sales,General - Con,05-03-1945,TX,Technician,Male,84775,Other,Widowed,Fully Meets,2
26-Mar-21,,Area Sales Manager,WBL,Active,Contract,Zone A,Part-Time,Unk,,Sales,General - Con,24-12-1957,KY,Laborer,Female,67591,Asian,Widowed,Fully Meets,2
15-May-19,10-Jul-22,Area Sales Manager,CCDR,Active,Full-Time,Zone C,Temporary,Retirement,,Sales,General - Con,25-11-1966,TX,Technician,Male,33482,Hispanic,Widowed,Fully Meets,2
24-Nov-18,19-May-22,Area Sales Manager,NEL,Active,Contract,Zone B,Full-Time,Unk,,Sales,General - Con,19-07-1965,TX,Driver,Female,94949,Asian,Widowed,Fully Meets,2
17-Aug-22,14-Jul-22,Area Sales Manager,EW,Active,Full-Time,Zone C,Temporary,Unk,,Sales,General - Con,20-06-1955,KY,Laborer,Male,12039,Black,Widowed,Fully Meets,4
05-Jun-20,13-Aug-22,Area Sales Manager,PYZ,Active,Full-Time,Zone C,Full-Time,Unk,,Sales,General - Con,25-06-1952,CO,Technician,Male,39518,Asian,Widowed,Fully Meets,4
18-Nov-19,02-Aug-22,Area Sales Manager,WBL,Active,Full-Time,Zone C,Temporary,Retirement,,Sales,General - Con,10-08-1952,TX,Technician,Male,52372,Hispanic,Widowed,Fully Meets,2
26-Apr-22,29-Jul-22,Area Sales Manager,WBL,Active,Contract,Zone B,Full-Time,Unk,,Sales,General - Con,12-12-1963,TX,Engineer,Female,77961,Asian,Widowed,Fully Meets,2
31-Oct-19,25-Jul-20,Area Sales Manager,CCDR,Active,Contract,Zone C,Temporary,Resignation,,Sales,Field Operations,17-04-1960,TX,Technician,Male,63735,Asian,Widowed,Fully Meets,2
15-Feb-20,22-Aug-22,Area Sales Manager,PYZ,Active,Full-Time,Zone C,Part-Time,Unk,,Sales,General - Con,13-11-1951,KY,Laborer,Male,40615,Asian,Widowed,Fully Meets,4
07-May-23,,Area Sales Manager,CCDR,Active,Part-Time,Zone C,Temporary,Retirement,,Sales,General - Con,01-12-1951,IN,Technician,Male,52432,Other,Widowed,Fully Meets,2
19-Apr-22,,Area Sales Manager,TNS,Active,Full-Time,Zone C,Temporary,Involuntary,,Sales,Project Management - Con,27-04-1951,TX,Technician,Male,82335,Asian,Widowed,Fully Meets,2
15-Sep-21,,Area Sales Manager,CCDR,Active,Contract,Zone A,Temporary,Unk,,Sales,Field Operations,10-09-1990,TX,Laborer,Male,60211,Other,Single,Fully Meets,2
26-Apr-22,20-Jun-22,Area Sales Manager,EW,Active,Contract,Zone B,Temporary,Unk,,Sales,General - Con,21-10-1969,KY,Laborer,Male,74174,Other,Single,Fully Meets,4
29-Mar-22,,Area Sales Manager,TNS,Active,Full-Time,Zone C,Temporary,Retirement,,Sales,General - Con,06-09-1955,TX,Technician,Male,50460,Hispanic,Widowed,Fully Meets,2
29-May-21,10-Jan-22,Area Sales Manager,CCDR,Active,Contract,Zone C,Temporary,Resignation,,Sales,General - Con,05-12-1958,TX,Technician,Female,41277,Asian,Widowed,Fully Meets,2
14-Apr-22,,Area Sales Manager,TNS,Active,Contract,Zone B,Temporary,Voluntary,,Sales,Field Operations,04-03-1957,TX,Technician,Male,59292,Other,Single,Fully Meets,2
07-Nov-21,,Area Sales Manager,MSC,Active,Contract,Zone B,Temporary,Retirement,,Sales,Field Operations,21-11-1968,TX,Laborer,Male,49554,Other,Single,Fully Meets,2
17-Feb-21,,Area Sales Manager,CCDR,Active,Part-Time,Zone A,Temporary,Unk,,Sales,General - Con,10-09-1993,KY,Laborer,Female,61371,Black,Single,Fully Meets,2
