Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours
reason_16,month_6,day_2,season_1,367,14,1970-01-01,29,208.57898850720363,88,0,education_2,son_0,0,0,pet_5,97,196,19,1970-01-01
reason_9,month_1,day_5,season_1,296,6,1970-01-01,34,339.7665618961645,87,1,education_1,son_4,0,1,pet_8,77,193,28,1970-01-01
reason_17,month_2,day_6,season_1,132,17,1970-01-01,44,320.7530059046604,87,0,education_1,son_4,1,1,pet_2,79,180,28,1970-01-01
reason_22,month_2,day_3,season_4,154,32,1970-01-01,57,288.67154563298993,89,1,education_1,son_3,1,0,pet_1,76,196,37,1970-01-01
reason_2,month_10,day_4,season_3,334,25,1970-01-01,46,322.0022568541245,88,1,education_1,son_3,1,0,pet_5,73,187,19,1970-01-01
reason_7,month_6,day_6,season_3,259,14,1970-01-01,34,337.16204912216796,87,0,education_4,son_4,0,0,pet_5,80,192,34,1970-01-01
reason_15,month_10,day_4,season_4,288,47,1970-01-01,29,314.67576867262756,91,1,education_4,son_1,1,1,pet_8,56,172,26,1970-01-01
reason_0,month_0,day_4,season_2,223,50,1970-01-01,35,366.32912616127055,94,0,education_1,son_3,1,1,pet_1,76,177,25,1970-01-01
reason_11,month_7,day_5,season_4,380,19,1970-01-01,29,360.5899771451048,91,0,education_1,son_3,0,0,pet_5,98,165,20,1970-01-01
reason_13,month_7,day_5,season_3,388,20,1970-01-01,40,359.09396230676913,84,1,education_1,son_0,0,0,pet_0,105,192,33,1970-01-01
reason_15,month_7,day_6,season_2,306,37,1970-01-01,31,332.8020001035337,96,1,education_3,son_0,1,1,pet_1,103,182,37,1970-01-01
reason_15,month_5,day_2,season_4,204,23,1970-01-01,56,324.7605858197272,87,0,education_1,son_4,0,0,pet_8,81,171,33,1970-01-01
reason_13,month_10,day_4,season_1,120,15,1970-01-01,28,280.88739451658944,92,0,education_4,son_0,1,0,pet_5,82,171,27,1970-01-01
reason_0,month_6,day_4,season_4,208,39,1970-01-01,31,244.2809025020353,83,1,education_3,son_0,1,1,pet_0,84,187,38,1970-01-01
reason_16,month_3,day_5,season_3,145,24,1970-01-01,41,369.27187737527413,84,1,education_1,son_2,1,1,pet_4,81,173,26,1970-01-01
reason_17,month_8,day_6,season_4,182,47,1970-01-01,34,343.8239646530427,86,0,education_3,son_3,1,0,pet_0,98,187,19,1970-01-01
reason_5,month_4,day_6,season_4,361,51,1970-01-01,54,352.9405891451181,98,1,education_2,son_4,0,0,pet_8,78,177,33,1970-01-01
reason_26,month_11,day_6,season_1,290,42,1970-01-01,46,223.81716832761148,84,1,education_1,son_3,1,0,pet_0,95,165,32,1970-01-01
reason_2,month_3,day_2,season_1,223,33,1970-01-01,33,226.08826705369924,84,1,education_3,son_3,0,1,pet_4,68,168,30,1970-01-01
reason_1,month_2,day_3,season_4,376,13,1970-01-01,43,286.7723865550894,83,0,education_2,son_2,1,1,pet_4,78,167,25,1970-01-01
reason_23,month_1,day_5,season_1,326,38,1970-01-01,46,295.9064016935421,100,1,education_4,son_3,0,0,pet_4,65,164,19,1970-01-01
reason_26,month_7,day_6,season_1,323,22,1970-01-01,48,351.4409851550439,81,0,education_1,son_0,0,1,pet_5,107,181,35,1970-01-01
reason_5,month_10,day_6,season_2,377,26,1970-01-01,40,286.2410327124889,97,1,education_3,son_3,1,0,pet_2,103,188,35,1970-01-01
reason_6,month_11,day_5,season_1,358,5,1970-01-01,58,345.74366399826806,98,1,education_4,son_1,0,1,pet_8,107,170,28,1970-01-01
reason_10,month_5,day_5,season_3,140,8,1970-01-01,41,209.31042290471638,97,0,education_1,son_1,0,0,pet_1,95,164,27,1970-01-01
reason_18,month_7,day_2,season_1,300,14,1970-01-01,53,314.53111034649316,97,0,education_4,son_4,0,0,pet_0,62,172,33,1970-01-01
reason_10,month_6,day_6,season_1,192,38,1970-01-01,44,246.12998877110005,95,0,education_1,son_1,1,0,pet_1,63,191,35,1970-01-01
reason_17,month_10,day_5,season_4,161,22,1970-01-01,43,334.35283085286903,95,1,education_1,son_4,0,1,pet_5,91,177,34,1970-01-01
reason_3,month_10,day_2,season_4,171,25,1970-01-01,34,295.68264510046976,82,0,education_3,son_1,1,1,pet_8,104,168,35,1970-01-01
reason_23,month_12,day_4,season_2,346,30,1970-01-01,52,224.31135378952143,82,1,education_2,son_4,1,1,pet_8,73,191,25,1970-01-01
reason_1,month_1,day_5,season_2,218,24,1970-01-01,38,225.96593295340648,90,1,education_1,son_1,0,0,pet_2,57,167,23,1970-01-01
reason_17,month_10,day_2,season_2,387,21,1970-01-01,47,295.7862545297774,85,0,education_2,son_4,1,0,pet_0,61,194,21,1970-01-01
reason_25,month_0,day_2,season_3,251,44,1970-01-01,46,210.02034996423825,83,1,education_3,son_0,1,1,pet_4,62,179,35,1970-01-01
reason_5,month_8,day_2,season_1,330,8,1970-01-01,52,224.47666616210347,91,1,education_2,son_1,1,1,pet_1,80,174,36,1970-01-01
reason_9,month_3,day_4,season_3,366,51,1970-01-01,40,286.7687746477261,100,1,education_4,son_2,0,0,pet_4,89,169,21,1970-01-01
reason_12,month_7,day_3,season_4,154,43,1970-01-01,51,226.3229504017563,88,1,education_3,son_0,0,1,pet_5,77,193,20,1970-01-01
reason_28,month_6,day_6,season_1,318,5,1970-01-01,48,353.3274234798937,94,0,education_4,son_0,1,0,pet_2,82,195,19,1970-01-01
reason_8,month_9,day_5,season_4,379,22,1970-01-01,56,255.1027750165308,91,0,education_1,son_3,1,1,pet_0,102,194,34,1970-01-01
reason_6,month_9,day_4,season_3,261,22,1970-01-01,53,298.7092229240598,92,0,education_1,son_1,0,0,pet_5,91,180,34,1970-01-01
reason_7,month_11,day_5,season_3,297,37,1970-01-01,36,316.31478019312675,84,0,education_4,son_4,0,0,pet_8,74,180,21,1970-01-01
